Date,Country,Country_Geopolitical_Shock_Exposure,Country_Geo_Shock_Z,Country_Geo_Risk_Percentile,Country_Geo_Risk_Level
5/14/2019,United States,690.4730514,4.21664916,0.991068183,Extremely high
5/15/2019,United States,513.0148208,3.043982307,0.983988506,Extremely high
5/16/2019,United States,440.1884655,2.562736368,0.979124474,Extremely high
5/17/2019,United States,391.6406995,2.241926475,0.975316335,Extremely high
5/18/2019,United States,226.8863264,1.15320835,0.94942099,Extremely high
5/19/2019,United States,158.9221945,0.70409261,0.926814492,Extremely high
5/20/2019,United States,285.5471083,1.540846355,0.961866681,Extremely high
5/21/2019,United States,364.2622762,2.061006327,0.972702567,Extremely high
5/22/2019,United States,258.7235687,1.363592949,0.956846861,Extremely high
5/23/2019,United States,284.7177815,1.535366057,0.961745512,Extremely high
5/24/2019,United States,412.8608815,2.382152172,0.977029998,Extremely high
5/25/2019,United States,178.0184897,0.830283389,0.935278946,Extremely high
5/26/2019,United States,110.2832399,0.382680131,0.897353343,Extremely high
5/27/2019,United States,120.3427232,0.449154492,0.90503886,Extremely high
5/28/2019,United States,192.8533892,0.928314316,0.940419934,Extremely high
5/29/2019,United States,187.4515451,0.892618234,0.938446625,Extremely high
5/30/2019,United States,333.8310961,1.859913168,0.968929047,Extremely high
5/31/2019,United States,290.3289801,1.57244558,0.96252445,Extremely high
6/1/2019,United States,373.4415969,2.12166446,0.973464195,Extremely high
6/2/2019,United States,83.18676573,0.203623138,0.868671133,Extremely high
6/3/2019,United States,370.8242605,2.104368764,0.973256478,Extremely high
6/4/2019,United States,199.1079943,0.969645552,0.94190857,Extremely high
6/5/2019,United States,351.1362553,1.974267889,0.971006214,Extremely high
6/6/2019,United States,237.91524,1.226088832,0.952346333,Extremely high
6/7/2019,United States,200.6140135,0.979597521,0.942393242,Extremely high
6/8/2019,United States,145.9525688,0.618387652,0.920929186,Extremely high
6/9/2019,United States,154.7177094,0.67630883,0.924979661,Extremely high
6/10/2019,United States,163.3515113,0.733362106,0.928908968,Extremely high
6/11/2019,United States,213.1523822,1.062452677,0.946132142,Extremely high
6/12/2019,United States,272.6582622,1.455675199,0.959339461,Extremely high
6/13/2019,United States,328.9876755,1.82790722,0.968478995,Extremely high
6/14/2019,United States,552.7029936,3.306246867,0.985598311,Extremely high
6/15/2019,United States,310.591121,1.706340418,0.966090253,Extremely high
6/16/2019,United States,179.3224167,0.838899906,0.935850167,Extremely high
6/17/2019,United States,362.5537641,2.049716258,0.972460231,Extremely high
6/18/2019,United States,452.5756212,2.644592289,0.98002458,Extremely high
6/19/2019,United States,388.9140794,2.223908618,0.97503938,Extremely high
6/20/2019,United States,208.2081196,1.029780353,0.944608887,Extremely high
6/21/2019,United States,361.5051769,2.042787059,0.972269824,Extremely high
6/22/2019,United States,480.489755,2.829052482,0.98189403,Extremely high
6/23/2019,United States,284.9191315,1.536696603,0.961780132,Extremely high
6/24/2019,United States,491.3260588,2.900660174,0.982621038,Extremely high
6/25/2019,United States,235.3144296,1.208902342,0.951619325,Extremely high
6/26/2019,United States,355.0717825,2.00027436,0.971369718,Extremely high
6/27/2019,United States,387.1573295,2.212299789,0.974848973,Extremely high
6/28/2019,United States,441.5616054,2.571810254,0.979245642,Extremely high
6/29/2019,United States,238.9295816,1.232791732,0.95253674,Extremely high
6/30/2019,United States,67.88634318,0.102515974,0.843727822,Extremely high
7/1/2019,United States,267.3341073,1.420492498,0.958404736,Extremely high
7/2/2019,United States,328.4016671,1.824034801,0.968392446,Extremely high
7/3/2019,United States,158.767195,0.703068353,0.926762563,Extremely high
7/4/2019,United States,251.4478212,1.315513872,0.955340915,Extremely high
7/5/2019,United States,233.6666156,1.198013375,0.951221201,Extremely high
7/6/2019,United States,123.5770985,0.470527661,0.907116027,Extremely high
7/7/2019,United States,123.6175315,0.470794848,0.907133337,Extremely high
7/8/2019,United States,127.126996,0.493985841,0.909885583,Extremely high
7/9/2019,United States,229.6378919,1.171391049,0.950165308,Extremely high
7/10/2019,United States,239.4408388,1.236170186,0.952727147,Extremely high
7/11/2019,United States,284.3469007,1.532915229,0.961658964,Extremely high
7/12/2019,United States,255.1002861,1.339649831,0.956223711,Extremely high
7/13/2019,United States,184.640845,0.874044766,0.937425352,Extremely high
7/14/2019,United States,74.42379227,0.14571628,0.855446504,Extremely high
7/15/2019,United States,73.78421769,0.141489889,0.854425231,Extremely high
7/16/2019,United States,181.4482229,0.852947508,0.936421388,Extremely high
7/17/2019,United States,349.7918351,1.965383787,0.970867736,Extremely high
7/18/2019,United States,243.9585931,1.266024088,0.953661872,Extremely high
7/19/2019,United States,115.8948764,0.419762548,0.901767323,Extremely high
7/20/2019,United States,206.2784507,1.017028852,0.943968427,Extremely high
7/21/2019,United States,144.9795023,0.611957503,0.920531062,Extremely high
7/22/2019,United States,458.5853484,2.684305341,0.980440013,Extremely high
7/23/2019,United States,330.8841933,1.840439654,0.968669402,Extremely high
7/24/2019,United States,236.4472692,1.216388292,0.951861661,Extremely high
7/25/2019,United States,176.8610567,0.822634922,0.934759654,Extremely high
7/26/2019,United States,327.0507089,1.815107495,0.968253968,Extremely high
7/27/2019,United States,149.2375356,0.640095136,0.922469751,Extremely high
7/28/2019,United States,75.49464186,0.152792592,0.857367884,Extremely high
7/29/2019,United States,326.956766,1.814486709,0.968219349,Extremely high
7/30/2019,United States,361.9878557,2.045976663,0.972339063,Extremely high
7/31/2019,United States,213.0142584,1.061539937,0.946114833,Extremely high
8/1/2019,United States,295.9813743,1.609797329,0.963701511,Extremely high
8/2/2019,United States,304.9447162,1.669028247,0.965276696,Extremely high
8/3/2019,United States,308.215668,1.690643118,0.965813297,Extremely high
8/4/2019,United States,316.9650998,1.748460491,0.96692112,Extremely high
8/5/2019,United States,284.4195972,1.533395616,0.961676274,Extremely high
8/6/2019,United States,744.4068758,4.573050821,0.992452961,Extremely high
8/7/2019,United States,291.2456902,1.578503318,0.962749476,Extremely high
8/8/2019,United States,397.3862631,2.2798939,0.975749078,Extremely high
8/9/2019,United States,290.8578633,1.575940508,0.962645618,Extremely high
8/10/2019,United States,249.091681,1.299944194,0.954925482,Extremely high
8/11/2019,United States,209.2282063,1.036521217,0.944937772,Extremely high
8/12/2019,United States,416.3112946,2.404952946,0.977376192,Extremely high
8/13/2019,United States,111.7501246,0.392373494,0.898530405,Extremely high
8/14/2019,United States,290.6116009,1.574313175,0.962576379,Extremely high
8/15/2019,United States,266.1977447,1.412983267,0.95817971,Extremely high
8/16/2019,United States,287.4134865,1.553179623,0.962160946,Extremely high
8/17/2019,United States,273.8643994,1.463645509,0.959616417,Extremely high
8/18/2019,United States,243.5905089,1.26359174,0.953627252,Extremely high
8/19/2019,United States,351.2831533,1.97523861,0.971023524,Extremely high
8/20/2019,United States,210.6811628,1.046122541,0.945422444,Extremely high
8/21/2019,United States,314.2938958,1.730808831,0.966488377,Extremely high
8/22/2019,United States,406.5479227,2.340435327,0.976493396,Extremely high
8/23/2019,United States,265.9115605,1.411092125,0.95814509,Extremely high
8/24/2019,United States,181.4840789,0.853184449,0.936456007,Extremely high
8/25/2019,United States,228.1059251,1.161267615,0.949767184,Extremely high
8/26/2019,United States,332.9790393,1.854282666,0.968842499,Extremely high
8/27/2019,United States,489.3240751,2.887430807,0.982465251,Extremely high
8/28/2019,United States,229.3463041,1.1694642,0.950078759,Extremely high
8/29/2019,United States,209.8311824,1.040505761,0.945128178,Extremely high
8/30/2019,United States,125.7734928,0.485041718,0.908968167,Extremely high
8/31/2019,United States,101.7435923,0.326249039,0.889806304,Extremely high
9/1/2019,United States,82.95733336,0.202107019,0.868324938,Extremely high
9/2/2019,United States,277.5454648,1.487970464,0.960395354,Extremely high
9/3/2019,United States,195.4280825,0.945328221,0.941043084,Extremely high
9/4/2019,United States,209.2455474,1.036635809,0.944955081,Extremely high
9/5/2019,United States,189.0886193,0.903436231,0.939208253,Extremely high
9/6/2019,United States,190.7803246,0.914615238,0.939744855,Extremely high
9/7/2019,United States,44.22281992,-0.053855636,0.776254522,High
9/8/2019,United States,151.6004647,0.655709676,0.923456405,Extremely high
9/9/2019,United States,170.0503577,0.777628946,0.932024718,Extremely high
9/10/2019,United States,244.8007539,1.271589195,0.953886898,Extremely high
9/11/2019,United States,230.4820076,1.176969075,0.950269166,Extremely high
9/12/2019,United States,185.5589631,0.880111808,0.937633068,Extremely high
9/13/2019,United States,164.7087822,0.742331127,0.929514808,Extremely high
9/14/2019,United States,108.3872377,0.370151104,0.895951256,Extremely high
9/15/2019,United States,173.567046,0.800867675,0.933703761,Extremely high
9/16/2019,United States,417.6031375,2.413489611,0.97749736,Extremely high
9/17/2019,United States,591.3074243,3.561349919,0.98751969,Extremely high
9/18/2019,United States,269.2604964,1.433222325,0.95878555,Extremely high
9/19/2019,United States,366.7565162,2.077488586,0.972892974,Extremely high
9/20/2019,United States,296.3339971,1.612127506,0.963874608,Extremely high
9/21/2019,United States,188.0258549,0.896413347,0.938740891,Extremely high
9/22/2019,United States,252.8413963,1.324722796,0.95565249,Extremely high
9/23/2019,United States,122.7241917,0.464891543,0.906596735,Extremely high
9/24/2019,United States,240.9584572,1.246198803,0.953073341,Extremely high
9/25/2019,United States,289.6861412,1.568197618,0.962385972,Extremely high
9/26/2019,United States,164.941298,0.743867621,0.929653286,Extremely high
9/27/2019,United States,205.5241626,1.012044419,0.943829949,Extremely high
9/28/2019,United States,90.63219863,0.252823518,0.877827976,Extremely high
9/29/2019,United States,142.5184074,0.595694271,0.919319382,Extremely high
9/30/2019,United States,223.0276052,1.127709423,0.948417026,Extremely high
10/1/2019,United States,222.4457372,1.123864364,0.948295858,Extremely high
10/2/2019,United States,171.8765963,0.789696966,0.932976753,Extremely high
10/3/2019,United States,114.6985893,0.411857328,0.901092244,Extremely high
10/4/2019,United States,274.6084354,1.468562195,0.959772204,Extremely high
10/5/2019,United States,133.627874,0.536944481,0.913884129,Extremely high
10/6/2019,United States,96.17507897,0.289451585,0.884492219,Extremely high
10/7/2019,United States,130.7030488,0.517616859,0.912014679,Extremely high
10/8/2019,United States,293.1232441,1.590910437,0.96316491,Extremely high
10/9/2019,United States,203.5240214,0.998827228,0.943206799,Extremely high
10/10/2019,United States,407.6117908,2.347465504,0.976649184,Extremely high
10/11/2019,United States,504.2249703,2.985897843,0.983382666,Extremely high
10/12/2019,United States,254.361056,1.334764903,0.956015994,Extremely high
10/13/2019,United States,234.0825178,1.20076171,0.951376988,Extremely high
10/14/2019,United States,292.3951578,1.586099148,0.962974503,Extremely high
10/15/2019,United States,266.6982733,1.416290825,0.958300878,Extremely high
10/16/2019,United States,477.5313012,2.809502638,0.981703623,Extremely high
10/17/2019,United States,283.239611,1.525598116,0.961433937,Extremely high
10/18/2019,United States,263.0270677,1.392031025,0.957591179,Extremely high
10/19/2019,United States,279.342687,1.49984674,0.960758858,Extremely high
